idx,pGo,HiLo,HML,Cond,response,choice,rt
40,1.0,aHi,bHi,bsl,1,go,0.54686
40,1.0,aHi,bHi,bsl,1,go,0.5318244999999999
40,1.0,aHi,bHi,bsl,1,go,0.5451315999999999
40,1.0,aHi,bHi,bsl,1,go,0.5451322000000001
40,1.0,aHi,bHi,bsl,1,go,0.5451666000000001
40,1.0,aHi,bHi,bsl,1,go,0.5451825
40,1.0,aHi,bHi,bsl,1,go,0.505124
40,1.0,aHi,bHi,bsl,1,go,0.5469361
40,0.2,bLo,cLo,bsl,0,stop,0.5452636
40,0.0,bLo,cLo,bsl,0,stop,0.5450775
40,1.0,aHi,bHi,bsl,1,go,0.5451853
40,1.0,aHi,bHi,bsl,1,go,0.5451885000000001
40,0.4,bLo,bMed,bsl,1,go,0.5451381000000001
40,0.0,bLo,cLo,bsl,0,stop,0.5450941
40,0.4,bLo,bMed,bsl,0,stop,0.5451461999999999
40,0.8,aHi,bHi,bsl,1,go,0.5452501000000001
40,0.6,aHi,bMed,bsl,1,go,0.5451495
40,0.6,aHi,bMed,bsl,1,go,0.5451418
40,0.8,aHi,bHi,bsl,1,go,0.5452435000000001
40,0.8,aHi,bHi,bsl,1,go,0.5450325
40,0.2,bLo,cLo,bsl,0,stop,0.5451149000000001
40,0.2,bLo,cLo,bsl,0,stop,0.5451948999999999
40,0.2,bLo,cLo,bsl,0,stop,0.5450154
40,0.4,bLo,bMed,bsl,0,stop,0.5451822
40,0.6,aHi,bMed,bsl,0,stop,0.5451855999999999
40,0.6,aHi,bMed,bsl,1,go,0.5451163
40,1.0,aHi,bHi,bsl,1,go,0.5450936000000001
40,0.0,bLo,cLo,bsl,0,stop,0.5451929
40,0.0,bLo,cLo,bsl,0,stop,0.5450963000000001
40,0.4,bLo,bMed,bsl,0,stop,0.5451273999999999
40,1.0,aHi,bHi,bsl,1,go,0.5451509999999999
40,0.8,aHi,bHi,bsl,1,go,0.5050946000000001
40,1.0,aHi,bHi,bsl,1,go,0.5452522000000001
40,0.2,bLo,cLo,bsl,0,stop,0.5575085000000001
40,1.0,aHi,bHi,bsl,1,go,0.5450694
40,0.4,bLo,bMed,bsl,0,stop,0.5450233
40,0.6,aHi,bMed,bsl,1,go,0.5575031
40,0.2,bLo,cLo,bsl,0,stop,0.5451954999999999
40,0.6,aHi,bMed,bsl,1,go,0.5451815
40,0.4,bLo,bMed,bsl,0,stop,0.5452484999999999
40,0.8,aHi,bHi,bsl,1,go,0.5450246999999999
40,0.6,aHi,bMed,bsl,1,go,0.5452206999999999
40,0.0,bLo,cLo,bsl,0,stop,0.5450353
40,0.0,bLo,cLo,bsl,0,stop,0.5451373
40,0.0,bLo,cLo,bsl,0,stop,0.5451993
40,0.2,bLo,cLo,bsl,0,stop,0.5578528
40,1.0,aHi,bHi,bsl,1,go,0.5451461000000001
40,0.0,bLo,cLo,bsl,0,stop,0.5451663999999999
40,0.2,bLo,cLo,bsl,1,go,0.5450696999999999
40,0.8,aHi,bHi,bsl,1,go,0.5451376
40,0.4,bLo,bMed,bsl,1,go,0.5451729000000001
40,1.0,aHi,bHi,bsl,1,go,0.5576578000000001
40,0.8,aHi,bHi,bsl,0,stop,0.5451299000000001
40,1.0,aHi,bHi,bsl,1,go,0.5318451
40,0.8,aHi,bHi,bsl,1,go,0.5450391
40,0.4,bLo,bMed,bsl,1,go,0.5451604
40,0.6,aHi,bMed,bsl,1,go,0.5451975
40,1.0,aHi,bHi,bsl,1,go,0.5452279000000001
40,0.8,aHi,bHi,bsl,1,go,0.5469406
40,0.4,bLo,bMed,bsl,1,go,0.5450876
40,1.0,aHi,bHi,bsl,1,go,0.5450904000000001
40,0.6,aHi,bMed,bsl,1,go,0.5452338999999999
40,0.4,bLo,bMed,bsl,0,stop,0.5450381
40,1.0,aHi,bHi,bsl,1,go,0.5451273
40,0.6,aHi,bMed,bsl,1,go,0.5461967
40,0.4,bLo,bMed,bsl,1,go,0.5451903
40,0.0,bLo,cLo,bsl,0,stop,0.5461377000000001
40,0.4,bLo,bMed,bsl,1,go,0.5462041999999999
40,0.0,bLo,cLo,bsl,0,stop,0.5450731
40,0.2,bLo,cLo,bsl,0,stop,0.5450236999999999
40,0.8,aHi,bHi,bsl,1,go,0.5467253000000001
40,0.0,bLo,cLo,bsl,0,stop,0.5450539000000001
40,0.0,bLo,cLo,bsl,0,stop,0.5452104000000001
40,1.0,aHi,bHi,bsl,1,go,0.5451054000000001
40,0.6,aHi,bMed,bsl,1,go,0.5451619999999999
40,0.2,bLo,cLo,bsl,0,stop,0.5452026999999999
40,0.8,aHi,bHi,bsl,1,go,0.5450995000000001
40,0.2,bLo,cLo,bsl,0,stop,0.5451765000000001
40,1.0,aHi,bHi,bsl,1,go,0.5450482
40,0.8,aHi,bHi,bsl,1,go,0.5452209
40,0.6,aHi,bMed,bsl,1,go,0.5450415000000001
40,0.2,bLo,cLo,bsl,0,stop,0.5451862
40,1.0,aHi,bHi,bsl,1,go,0.5201187
40,0.8,aHi,bHi,bsl,1,go,0.5318350000000001
40,0.2,bLo,cLo,bsl,0,stop,0.5451319
40,1.0,aHi,bHi,bsl,1,go,0.545087
40,0.2,bLo,cLo,bsl,0,stop,0.5451862
40,0.6,aHi,bMed,bsl,1,go,0.5452024999999999
40,0.6,aHi,bMed,bsl,1,go,0.5450315000000001
40,0.8,aHi,bHi,bsl,1,go,0.5450721
40,0.2,bLo,cLo,bsl,0,stop,0.5452030999999999
40,1.0,aHi,bHi,bsl,1,go,0.5582732
40,1.0,aHi,bHi,bsl,1,go,0.5451481
40,0.4,bLo,bMed,bsl,1,go,0.5451355
40,0.2,bLo,cLo,bsl,0,stop,0.5451201999999999
40,1.0,aHi,bHi,bsl,1,go,0.5452007999999999
40,0.8,aHi,bHi,bsl,1,go,0.5451672
40,0.4,bLo,bMed,bsl,1,go,0.5451474000000001
40,0.8,aHi,bHi,bsl,1,go,0.5451552000000001
40,0.0,bLo,cLo,bsl,0,stop,0.5451246
40,0.0,bLo,cLo,bsl,0,stop,0.5452363
40,0.0,bLo,cLo,bsl,0,stop,0.5583351
40,0.6,aHi,bMed,bsl,1,go,0.5451289
40,0.4,bLo,bMed,bsl,1,go,0.5450706000000001
40,0.6,aHi,bMed,bsl,1,go,0.5317758
40,0.0,bLo,cLo,bsl,0,stop,0.5582326999999999
40,0.4,bLo,bMed,bsl,0,stop,0.5451556000000001
40,1.0,aHi,bHi,bsl,1,go,0.5467432
40,1.0,aHi,bHi,bsl,1,go,0.5451231000000001
40,0.6,aHi,bMed,bsl,1,go,0.5451159000000001
40,0.0,bLo,cLo,bsl,0,stop,0.5580235
40,0.8,aHi,bHi,bsl,1,go,0.5451461999999999
40,0.4,bLo,bMed,bsl,0,stop,0.5454651999999999
40,0.4,bLo,bMed,bsl,0,stop,0.5451630999999999
40,1.0,aHi,bHi,bsl,1,go,0.5452206999999999
40,0.2,bLo,cLo,bsl,1,go,0.545131
40,0.4,bLo,bMed,bsl,0,stop,0.5450661
40,0.8,aHi,bHi,bsl,1,go,0.5452175
40,0.0,bLo,cLo,bsl,0,stop,0.5451895
40,0.6,aHi,bMed,bsl,1,go,0.5469005
40,0.6,aHi,bMed,bsl,1,go,0.5450366999999999
40,0.8,aHi,bHi,bsl,1,go,0.5451458
40,0.2,bLo,cLo,bsl,0,stop,0.5452137
40,1.0,aHi,bHi,bsl,1,go,0.5452981
40,0.2,bLo,cLo,bsl,0,stop,0.5451059
40,0.4,bLo,bMed,bsl,0,stop,0.5451593000000001
40,1.0,aHi,bHi,bsl,1,go,0.55798
40,0.2,bLo,cLo,bsl,0,stop,0.5452246999999999
40,0.0,bLo,cLo,bsl,0,stop,0.5452111
40,0.6,aHi,bMed,bsl,0,stop,0.5575547000000001
40,0.0,bLo,cLo,bsl,0,stop,0.5451366999999999
40,0.8,aHi,bHi,bsl,1,go,0.5452153000000001
40,1.0,aHi,bHi,bsl,1,go,0.5469930000000001
40,0.4,bLo,bMed,bsl,0,stop,0.5454542
40,0.0,bLo,cLo,bsl,0,stop,0.5450223000000001
40,0.6,aHi,bMed,bsl,0,stop,0.5451950000000001
40,0.2,bLo,cLo,bsl,1,go,0.5452031999999999
40,0.2,bLo,cLo,bsl,0,stop,0.5450750000000001
40,0.6,aHi,bMed,bsl,0,stop,0.5452164
40,0.6,aHi,bMed,bsl,1,go,0.5451033000000001
40,0.4,bLo,bMed,bsl,1,go,0.5451381000000001
40,0.2,bLo,cLo,bsl,1,go,0.5451654
40,0.4,bLo,bMed,bsl,0,stop,0.5452290000000001
40,0.2,bLo,cLo,bsl,1,go,0.5452142
40,0.8,aHi,bHi,bsl,1,go,0.5451550999999999
40,1.0,aHi,bHi,bsl,1,go,0.5452191000000001
40,0.4,bLo,bMed,bsl,1,go,0.5461998
40,0.8,aHi,bHi,bsl,1,go,0.5452005000000001
40,0.0,bLo,cLo,bsl,0,stop,0.5451049
40,0.0,bLo,cLo,bsl,0,stop,0.5451048000000001
40,0.0,bLo,cLo,bsl,0,stop,0.5470095
40,0.6,aHi,bMed,bsl,1,go,0.5467379
40,1.0,aHi,bHi,bsl,1,go,0.5452145
40,0.8,aHi,bHi,bsl,1,go,0.545307
40,1.0,aHi,bHi,bsl,1,go,0.5451231000000001
40,0.8,aHi,bHi,bsl,1,go,0.5184546
40,1.0,aHi,bHi,bsl,1,go,0.5451335
40,1.0,aHi,bHi,bsl,1,go,0.5468634
40,0.0,bLo,cLo,bsl,0,stop,0.5451311
40,0.8,aHi,bHi,bsl,1,go,0.5451974
40,0.2,bLo,cLo,bsl,0,stop,0.5452382
40,0.0,bLo,cLo,bsl,0,stop,0.5452157
40,0.2,bLo,cLo,bsl,0,stop,0.5451699000000001
40,0.4,bLo,bMed,bsl,1,go,0.5453304000000001
40,0.6,aHi,bMed,bsl,0,stop,0.545187
40,0.0,bLo,cLo,bsl,0,stop,0.5452998
40,0.2,bLo,cLo,bsl,0,stop,0.5451482999999999
40,0.6,aHi,bMed,bsl,0,stop,0.5451642000000001
40,0.4,bLo,bMed,bsl,0,stop,0.5580769
40,0.4,bLo,bMed,bsl,1,go,0.5451189999999999
40,0.4,bLo,bMed,bsl,1,go,0.5450865
40,0.8,aHi,bHi,bsl,1,go,0.5451676999999999
40,1.0,aHi,bHi,bsl,1,go,0.5452013000000001
40,0.0,bLo,cLo,bsl,0,stop,0.5452274
40,0.6,aHi,bMed,bsl,1,go,0.5452534000000001
40,0.2,bLo,cLo,bsl,0,stop,0.5577798
40,0.6,aHi,bMed,bsl,1,go,0.5451596
40,1.0,aHi,bHi,bsl,1,go,0.5453060000000001
40,1.0,aHi,bHi,bsl,1,go,0.5470636
40,1.0,aHi,bHi,bsl,1,go,0.5450851999999999
40,0.8,aHi,bHi,bsl,1,go,0.5451063
40,0.8,aHi,bHi,bsl,1,go,0.5451381000000001
40,1.0,aHi,bHi,bsl,1,go,0.546607
40,0.2,bLo,cLo,bsl,0,stop,0.5451454000000001
40,0.6,aHi,bMed,bsl,1,go,0.5451680999999999
40,0.4,bLo,bMed,bsl,1,go,0.5452401
40,0.8,aHi,bHi,bsl,1,go,0.5450646
40,0.4,bLo,bMed,bsl,1,go,0.5451436
40,1.0,aHi,bHi,bsl,1,go,0.5450049
40,0.0,bLo,cLo,bsl,0,stop,0.5453144
40,0.8,aHi,bHi,bsl,1,go,0.5451889999999999
40,1.0,aHi,bHi,bsl,1,go,0.5450887
40,1.0,aHi,bHi,bsl,1,go,0.5582590999999999
40,0.4,bLo,bMed,bsl,1,go,0.5451788000000001
40,0.8,aHi,bHi,bsl,1,go,0.5451402000000001
40,0.0,bLo,cLo,bsl,0,stop,0.5451423999999999
40,0.6,aHi,bMed,bsl,1,go,0.5451703999999999
40,0.2,bLo,cLo,bsl,0,stop,0.5452688000000001
40,0.4,bLo,bMed,bsl,1,go,0.5451054000000001
40,0.6,aHi,bMed,bsl,0,stop,0.5450119999999999
40,0.8,aHi,bHi,bsl,1,go,0.5452026
40,0.2,bLo,cLo,bsl,0,stop,0.5583288000000001
40,0.2,bLo,cLo,bsl,0,stop,0.5451241
40,1.0,aHi,bHi,bsl,1,go,0.5583981
40,0.6,aHi,bMed,bsl,1,go,0.5451809
40,0.0,bLo,cLo,bsl,0,stop,0.5451480000000001
40,0.0,bLo,cLo,bsl,0,stop,0.545914
40,1.0,aHi,bHi,bsl,1,go,0.5469132
40,0.0,bLo,cLo,bsl,0,stop,0.5452394
40,0.6,aHi,bMed,bsl,1,go,0.5574995
40,0.8,aHi,bHi,bsl,1,go,0.5583914000000001
40,0.2,bLo,cLo,bsl,1,go,0.5451824000000001
40,0.0,bLo,cLo,bsl,0,stop,0.5451296999999999
40,0.4,bLo,bMed,bsl,1,go,0.5584078
40,0.0,bLo,cLo,bsl,0,stop,0.5583085999999999
40,0.8,aHi,bHi,bsl,1,go,0.5318656999999999
40,1.0,aHi,bHi,bsl,1,go,0.5451552000000001
40,0.8,aHi,bHi,bsl,1,go,0.5451691
40,0.2,bLo,cLo,bsl,0,stop,0.5450991000000001
40,0.6,aHi,bMed,bsl,1,go,0.5451574
40,0.6,aHi,bMed,bsl,1,go,0.5451575000000001
40,0.8,aHi,bHi,bsl,1,go,0.5452939
40,1.0,aHi,bHi,bsl,1,go,0.5452043999999999
40,1.0,aHi,bHi,bsl,1,go,0.5451712
40,0.4,bLo,bMed,bsl,1,go,0.5451355
40,0.6,aHi,bMed,bsl,1,go,0.5451536
40,0.4,bLo,bMed,bsl,1,go,0.5451524
40,0.2,bLo,cLo,bsl,0,stop,0.5450991000000001
40,0.4,bLo,bMed,bsl,1,go,0.5573004
40,0.0,bLo,cLo,bsl,0,stop,0.5461191
40,1.0,aHi,bHi,bsl,1,go,0.5464573
40,0.2,bLo,cLo,bsl,1,go,0.5450885
40,1.0,aHi,bHi,bsl,1,go,0.5451743
40,0.6,aHi,bMed,bsl,1,go,0.5450703
40,1.0,aHi,bHi,bsl,1,go,0.5453566999999999
40,0.4,bLo,bMed,bsl,0,stop,0.5450931999999999
40,0.2,bLo,cLo,bsl,0,stop,0.5451722
40,0.2,bLo,cLo,bsl,0,stop,0.5452219
40,1.0,aHi,bHi,bsl,1,go,0.5451712
40,1.0,aHi,bHi,bsl,1,go,0.5450999000000001
40,0.4,bLo,bMed,bsl,0,stop,0.545132
40,0.0,bLo,cLo,bsl,0,stop,0.5451927
40,0.2,bLo,cLo,bsl,0,stop,0.5451835999999999
40,0.0,bLo,cLo,bsl,0,stop,0.5452143
40,0.0,bLo,cLo,bsl,0,stop,0.5451089
40,1.0,aHi,bHi,bsl,1,go,0.5452236999999999
40,0.4,bLo,bMed,bsl,0,stop,0.5451935
40,0.8,aHi,bHi,bsl,1,go,0.5451823000000001
40,0.8,aHi,bHi,bsl,1,go,0.545165
40,0.2,bLo,cLo,bsl,0,stop,0.5452598000000001
40,0.8,aHi,bHi,bsl,1,go,0.54523
40,0.0,bLo,cLo,bsl,0,stop,0.5451871
40,0.6,aHi,bMed,bsl,1,go,0.5452015
40,0.4,bLo,bMed,bsl,1,go,0.5450859
40,0.8,aHi,bHi,bsl,1,go,0.5451725000000001
